Phase,Code,Province,District,Constituency,Contestant,Gender,Party,Alliance,Votes,Won
1,S1OKH1,1,Okhaldhunga,1,Bajendra Rai,Male,Mongol National Organization,Others,74,
1,S1OKH1,1,Okhaldhunga,1,Ram Hari Khatiwada,Male,Nepali Congress,Democratic Alliance,27327,
1,S1OKH1,1,Okhaldhunga,1,Judda Bahadur Rai,Male,Sanghiya Samajwadi Forum,,543,
1,S1OKH1,1,Okhaldhunga,1,Prabhu Ram Shrestha,Male,Naya Shakti Party,Others,234,
1,S1OKH1,1,Okhaldhunga,1,Keshav Ramtel,Male,CPN-ML,Others,665,
1,S1OKH1,1,Okhaldhunga,1,Kunta Devi Khatri,Female,Rastriya Janamorcha,Others,106,
1,S1OKH1,1,Okhaldhunga,1,Yagya Raj Sunuwar,Male,CPN-UML,Left Alliance,32580,1
1,S3DOL1,3,Dolakha,1,Baikuntha Prasad Bhandari,Male,Naya Shakti Party,Others,170,
1,S3DOL1,3,Dolakha,1,Kaji Man Moktan,Male,Rastriya Janamukti Party,Others,99,
1,S3DOL1,3,Dolakha,1,Bijay Babu Siwakoti,Male,Bibeksheel Sajha Party,Others,303,
1,S3DOL1,3,Dolakha,1,Rudra Bahadur Khadka,Male,Nepali Congress,Democratic Alliance,24813,
1,S3DOL1,3,Dolakha,1,Parwat Gurung,Male,CPN-UML,Left Alliance,55457,1
1,S3DOL1,3,Dolakha,1,Krishna Prasad Siwakoti,Male,Nepal Majdur Kisaan Party,Others,31,
1,S3DOL1,3,Dolakha,1,Subba Shrestha,Male,Independent,Others,26,
1,S3DOL1,3,Dolakha,1,Netra Bahadur K.C.,Male,Independent,Others,12,
1,S3DOL1,3,Dolakha,1,Bal Bahadur Darji,Male,CPN-Marxist,Others,166,
1,S3DOL1,3,Dolakha,1,Chatak Gurung,Male,Independent,Others,44,
1,S3DOL1,3,Dolakha,1,Laxman Guvaju Bada,Male,Sanghiya Samajwadi Forum,,308,
1,S3DOL1,3,Dolakha,1,Mingur Sherpa,Male,Independent,Others,13,
1,S3DOL1,3,Dolakha,1,Thakur Man Thami,Male,Mongol National Organization,Others,772,
1,S3DOL1,3,Dolakha,1,Govinda Kafle,Male,Deshbhakta Janaganatantrik Morcha,Others,163,
1,S3DOL1,3,Dolakha,1,Chitra Bahadur Tamang,Male,Liberal Democratic Party,Others,61,
1,S3RAM1,3,Ramechhap,1,Bijay Bumar Gole,Male,Liberal Democratic Party,Others,48,
1,S3RAM1,3,Ramechhap,1,Samsher Bahadur Basnet,Male,Unified RPP (Nationalist),Others,343,
1,S3RAM1,3,Ramechhap,1,Shyam Kumar Shrestha,Male,Maoist Centre,Left Alliance,42117,1
1,S3RAM1,3,Ramechhap,1,Sambhu Nepali,Male,Nepal Dalit Party,Others,55,
1,S3RAM1,3,Ramechhap,1,Purna Bahadur Tamang,Male,Nepali Congress,Democratic Alliance,35771,
1,S3RAM1,3,Ramechhap,1,Shanta Kumar Magar,Male,Mongol National Organization,Others,118,
1,S3RAM1,3,Ramechhap,1,Ganesh Bahadur Khadki Newa,Male,Deshbhakta Janaganatantrik Morcha,Others,278,
1,S3RAM1,3,Ramechhap,1,Komal Bahadur Magar,Male,Naya Shakti Party,Others,336,
1,S3RAM1,3,Ramechhap,1,Mohan Karki,Male,CPN-ML,Others,3285,
1,S3RAM1,3,Ramechhap,1,Dil Bahadur Thapa Magar,Male,Rastriya Samajwadi Party,Others,276,
1,S3RAM1,3,Ramechhap,1,Amrit Bahadur Sunuwar,Male,Sanghiya Samajwadi Forum,,270,
1,S3RAM1,3,Ramechhap,1,Rita Maya Karki,Female,RJP-N,,233,
1,S3RAS1,3,Rasuwa,1,Mohan Singh Tamang,Male,Liberal Democratic Party,Others,8,
1,S3RAS1,3,Rasuwa,1,Sharmila Thapa Chhetri,Female,Independent,Others,3,
1,S3RAS1,3,Rasuwa,1,Janardan Dhakal,Male,CPN-UML,Left Alliance,10278,
1,S3RAS1,3,Rasuwa,1,Sidar Yangjen Lama,Female,Independent,Others,14,
1,S3RAS1,3,Rasuwa,1,Mohan Acharya,Male,Nepali Congress,Democratic Alliance,14453,1
1,S3RAS1,3,Rasuwa,1,Birendra Kumar Upreti,Male,Independent,Others,15,
1,S3RAS1,3,Rasuwa,1,Shiva Bahadur Lamichhane,Male,Independent,Others,14,
1,S3RAS1,3,Rasuwa,1,Nurpu Gyamjo Tamang,Male,Mongol National Organization,Others,44,
1,S3RAS1,3,Rasuwa,1,Bijay Poudel,Male,Independent,Others,8,
1,S3RAS1,3,Rasuwa,1,Sujan Dangol,Male,Independent,Others,1,
1,S3RAS1,3,Rasuwa,1,Kavi Raj Dangol,Male,Independent,Others,104,
1,S3DHA1,3,Dhading,1,Bishwanath Dhakal,Male,Independent,Others,27,
1,S3DHA1,3,Dhading,1,Bishwa Prasad Aryal,Male,Nepali Congress,Democratic Alliance,21968,
1,S3DHA1,3,Dhading,1,Dipak Khatiwada,Male,Independent,Others,17,
1,S3DHA1,3,Dhading,1,Raju Nepal,Male,Naya Shakti Party,Others,336,
1,S3DHA1,3,Dhading,1,Dipesh Thapa,Male,Bibeksheel Sajha Party,Others,347,
1,S3DHA1,3,Dhading,1,Bhumi Prasad Tripathi,Male,CPN-UML,Left Alliance,49121,1
1,S3DHA1,3,Dhading,1,Rajan Magar,Male,Jana Samajwadi Party,Others,2060,
1,S3DHA1,3,Dhading,1,Ajay Kumar Rimal,Male,Unified RPP (Nationalist),Others,294,
1,S3DHA2,3,Dhading,2,Tikaram Sunar,Male,Unified RPP (Nationalist),Others,346,
1,S3DHA2,3,Dhading,2,Sita Ram Duwadi,Male,RJP-N,,100,
1,S3DHA2,3,Dhading,2,Ram Maya Pariyar,Female,Nepali Janata Dal,Others,577,
1,S3DHA2,3,Dhading,2,Dhan Bahadur Tamang,Male,Independent,Others,26,
1,S3DHA2,3,Dhading,2,Bharat Dhungana,Male,Independent,Others,10,
1,S3DHA2,3,Dhading,2,Santosh Kumar Tamang,Male,Mongol National Organization,Others,138,
1,S3DHA2,3,Dhading,2,Ram Bahadur Silwal,Male,Independent,Others,37,
1,S3DHA2,3,Dhading,2,Dilman Pakharin,Male,Nepali Congress,Democratic Alliance,35616,
1,S3DHA2,3,Dhading,2,Khem Prasad Lohani,Male,CPN-UML,Left Alliance,36256,1
1,S3DHA2,3,Dhading,2,Rudra Bahadur Gelang Magar,Male,Independent,Others,70,
1,S3DHA2,3,Dhading,2,Chandika Devi Limbu,Female,Sanghiya Loktantrik Rastriya Manch,Others,67,
1,S3NUW1,3,Nuwakot,1,Krishna Prasad Lamichhane,Male,Nepal Janaloktantra Party,Others,138,
1,S3NUW1,3,Nuwakot,1,Karna Bahadur Tamang,Male,Rastriya Janamorcha,Others,45,
1,S3NUW1,3,Nuwakot,1,Uttam Adhikari,Male,Sanghiya Samajwadi Forum,,162,
1,S3NUW1,3,Nuwakot,1,Pradip Tamang,Male,Mongol National Organization,Others,178,
1,S3NUW1,3,Nuwakot,1,Bimal Thapa,Male,Unified RPP (Nationalist),Others,898,
1,S3NUW1,3,Nuwakot,1,Ravi Gurung,Male,Independent,Others,70,
1,S3NUW1,3,Nuwakot,1,Ram Saran Mahat (Dr.),Male,Nepali Congress,Democratic Alliance,27920,
1,S3NUW1,3,Nuwakot,1,Alisha Thapa,Female,Independent,Others,84,
1,S3NUW1,3,Nuwakot,1,Krishna Bahadur Tamang,Male,Independent,Others,60,
1,S3NUW1,3,Nuwakot,1,Hit Bahadur Tamang,Male,Maoist Centre,Left Alliance,36473,1
1,S3NUW2,3,Nuwakot,2,Laxmi Mudvari Chaulagain,Female,Deshbhakta Janaganatantrik Morcha,Others,96,
1,S3NUW2,3,Nuwakot,2,Dharma Bahadur Gurung,Male,Naya Shakti Party,Others,252,
1,S3NUW2,3,Nuwakot,2,Purushottam Adhikari,Male,Bibeksheel Sajha Party,Others,205,
1,S3NUW2,3,Nuwakot,2,Arjun Narsing K.C.,Male,Nepali Congress,Democratic Alliance,26335,
1,S3NUW2,3,Nuwakot,2,Dil Bahadur Pudasaini,Male,CPN-ML,Others,947,
1,S3NUW2,3,Nuwakot,2,Narayan Prasad Khatiwada,Male,CPN-UML,Left Alliance,36892,1
1,S3NUW2,3,Nuwakot,2,Chandra Tamang,Male,Mongol National Organization,Others,121,
1,S3NUW2,3,Nuwakot,2,Sitaram Timilsina,Male,Sanghiya Samajwadi Forum,,209,
1,S3SIN1,3,Sindhupalchok,1,Jagat Bahadur Tamang,Male,Sanghiya Samajwadi Forum,,283,
1,S3SIN1,3,Sindhupalchok,1,Agni Prasad Sapkota,Male,Maoist Centre,Left Alliance,40504,1
1,S3SIN1,3,Sindhupalchok,1,Purna Bahadur Shrestha,Male,Nepal Sanghiya Samajwadi Party,Others,22,
1,S3SIN1,3,Sindhupalchok,1,Tek Bahadur Joshi,Male,Deshbhakta Janaganatantrik Morcha,Others,37,
1,S3SIN1,3,Sindhupalchok,1,Dirga Bahadur Subedi,Male,Rastriya Janamorcha,Others,248,
1,S3SIN1,3,Sindhupalchok,1,Rajendra Giri,Male,Unified RPP (Nationalist),Others,151,
1,S3SIN1,3,Sindhupalchok,1,Mohan Bahadur Basnet,Male,Nepali Congress,Democratic Alliance,29798,
1,S3SIN1,3,Sindhupalchok,1,Lakpa Dorje Lama,Male,Tamangsaling Loktantirik Party,Others,77,
1,S3SIN1,3,Sindhupalchok,1,Hasta Bahadur Bishwakarma,Male,Jana Samajwadi Party,Others,1702,
1,S3SIN1,3,Sindhupalchok,1,Shyam Babu Gautam,Male,Naya Shakti Party,Others,25,
1,S3SIN1,3,Sindhupalchok,1,Sang Dolma Tamang Lama,Female,Sanghiya Khumbhuwan Loktantik Party,Others,108,
1,S3SIN1,3,Sindhupalchok,1,Som Norbu Sherpa,Male,Aamul Paribartan Masiha Party,Others,110,
1,S3SIN1,3,Sindhupalchok,1,Kiran Shakya,Male,Nepal Majdur Kisaan Party,Others,83,
1,S3SIN2,3,Sindhupalchok,2,Jayram Bhandari,Male,Bibeksheel Sajha Party,Others,153,
1,S3SIN2,3,Sindhupalchok,2,Bidur Prasad Chaulagain,Male,Naya Shakti Party,Others,130,
1,S3SIN2,3,Sindhupalchok,2,Bir Bahadur Tamang,Male,CPN-ML,Others,1279,
1,S3SIN2,3,Sindhupalchok,2,Sher Bahadur Tamang,Male,CPN-UML,Left Alliance,38401,1
1,S3SIN2,3,Sindhupalchok,2,Chandra Dutta Khatiwada,Male,Unified RPP (Nationalist),Others,1341,
1,S3SIN2,3,Sindhupalchok,2,Pashupati SJB Rana,Male,RPP (Democratic),Others,30369,
1,S3SIN2,3,Sindhupalchok,2,Bal Krishna Timilsina,Male,Rastriya Janamorcha,Others,38,
1,S3SIN2,3,Sindhupalchok,2,Kumar Bogati,Male,Deshbhakta Janaganatantrik Morcha,Others,55,
1,S3SIN2,3,Sindhupalchok,2,Chandra Bahadur Tamang,Male,Independent,Others,68,
1,S4GOR1,4,Gorkha,1,Krishna Gopal Banjara,Male,Nepal Sanghiya Samajwadi Party,Others,156,
1,S4GOR1,4,Gorkha,1,Chinkaji Shrestha,Male,Nepali Congress,Democratic Alliance,26643,
1,S4GOR1,4,Gorkha,1,Narayan Babu Acharya,Male,CPN-ML,Others,1639,
1,S4GOR1,4,Gorkha,1,Hari Raj Adhikari,Male,Maoist Centre,Left Alliance,29860,1
1,S4GOR1,4,Gorkha,1,Amrit Pudasaini,Male,Bibeksheel Sajha Party,Others,256,
1,S4GOR1,4,Gorkha,1,Ram Bahadur Nepali,Male,Deshbhakta Janaganatantrik Morcha,Others,81,
1,S4GOR1,4,Gorkha,1,Aakash Rana Magar,Male,Mongol National Organization,Others,110,
1,S4GOR1,4,Gorkha,1,Dipendra Gurung,Male,Sanghiya Samajwadi Forum,,539,
1,S4GOR2,4,Gorkha,2,Narayan Bahadur Aryal,Male,Rastriya Janamukti Party,Others,121,
1,S4GOR2,4,Gorkha,2,Ram Krishna Dhakal,Male,Nepal Sanghiya Samajwadi Party,Others,56,
1,S4GOR2,4,Gorkha,2,Baburam Bhattarai (Dr.),Male,Naya Shakti Party,Others,31807,1
1,S4GOR2,4,Gorkha,2,Govinda Singh Basnet,Male,Nepal Majdur Kisaan Party,Others,39,
1,S4GOR2,4,Gorkha,2,Narayan Kaji Shrestha,Male,Maoist Centre,Left Alliance,24933,
1,S4GOR2,4,Gorkha,2,Narayan Adhikari,Male,Deshbhakta Janaganatantrik Morcha,Others,89,
1,S4GOR2,4,Gorkha,2,Navraj Thapa,Male,Bibeksheel Sajha Party,Others,139,
1,S4GOR2,4,Gorkha,2,Dev Prasad Pradhan,Male,Aamul Paribartan Masiha Party,Others,180,
1,S4GOR2,4,Gorkha,2,Som Bahadur Gurung,Male,Mongol National Organization,Others,115,
1,S4MAN1,4,Manang,1,Tek Bahadur Gurung,Male,Nepali Congress,Democratic Alliance,2021,
1,S4MAN1,4,Manang,1,Polden Chopang Gurung,Male,CPN-UML,Left Alliance,2300,1
1,S4LAM1,4,Lamjung,1,Dwarika Prasad Mishra,Male,Independent,Others,732,
1,S4LAM1,4,Lamjung,1,Yam Bahadur Thapa Magar,Male,Rastriya Janamukti Party,Others,103,
1,S4LAM1,4,Lamjung,1,Devendra Parajuli,Male,Naya Shakti Party,Others,602,
1,S4LAM1,4,Lamjung,1,Dev Prasad Gurung,Male,Maoist Centre,Left Alliance,39468,1
1,S4LAM1,4,Lamjung,1,Dil Bahadur Gharti,Male,Nepali Congress,Democratic Alliance,31067,
1,S4LAM1,4,Lamjung,1,Som Bahadur Gurung,Male,Mongol National Organization,Others,64,
1,S4LAM1,4,Lamjung,1,Surendra Chandra Neupane,Male,Deshbhakta Janaganatantrik Morcha,Others,29,
1,S4LAM1,4,Lamjung,1,Nirajan Kunwar,Male,Jana Samajwadi Party,Others,1406,
1,S4LAM1,4,Lamjung,1,Mettar Gurung,Male,Deshbhakta Samaj,Others,92,
1,S4LAM1,4,Lamjung,1,Nirdesh Silwal,Male,Bibeksheel Sajha Party,Others,618,
1,S4LAM1,4,Lamjung,1,Khemjang Gurung,Male,Sanghiya Samajwadi Forum,,399,
1,S4MUS1,4,Mustang,1,Prem Prasad Tulachan,Male,CPN-UML,Left Alliance,3544,1
1,S4MUS1,4,Mustang,1,Romi Gauchan Thakali,Male,Nepali Congress,Democratic Alliance,3181,
1,S4MYA1,4,Myagdi,1,Ram Bahadur Shahi,Male,Unified RPP (Nationalist),Others,223,
1,S4MYA1,4,Myagdi,1,Rana Bahadur Fagami,Male,Mongol National Organization,Others,31,
1,S4MYA1,4,Myagdi,1,Kham Bahadur Garbuja,Male,Nepali Congress,Democratic Alliance,12243,
1,S4MYA1,4,Myagdi,1,Tilak Bahadur Thapa Magar,Male,Rastriya Janamukti Party,Others,16,
1,S4MYA1,4,Myagdi,1,Narayan Sharma,Male,Naya Shakti Party,Others,80,
1,S4MYA1,4,Myagdi,1,Fauj Bahadur Karki,Male,Rastriya Janamorcha,Others,64,
1,S4MYA1,4,Myagdi,1,Bhupendra Bahadur Thapa,Male,CPN-UML,Left Alliance,13682,1
1,S4BAG1,4,Baglung,1,Suman Jung Rajbhandari,Male,Unified RPP (Nationalist),Others,80,
1,S4BAG1,4,Baglung,1,Surya Prasad Pathak,Male,CPN-UML,Left Alliance,33657,1
1,S4BAG1,4,Baglung,1,Mahendra G.C.,Male,Sanghiya Samajwadi Forum,,115,
1,S4BAG1,4,Baglung,1,Champa Devi Khadka,Female,Nepali Congress,Democratic Alliance,20616,
1,S4BAG1,4,Baglung,1,Nir Bahadur Chhetri,Male,CPN-ML,Others,212,
1,S4BAG1,4,Baglung,1,Krishna Prasad Sharma,Male,Naya Shakti Party,Others,256,
1,S4BAG2,4,Baglung,2,Yam Bahadur Gharti Magar,Male,Sanghiya Samajwadi Forum,,180,
1,S4BAG2,4,Baglung,2,Nara Bahadur Pun,Male,Nepali Congress,Democratic Alliance,19905,
1,S4BAG2,4,Baglung,2,Devendra Poudel,Male,Maoist Centre,Left Alliance,28827,1
1,S4BAG2,4,Baglung,2,Nil Bahadur Pun,Male,Deshbhakta Janaganatantrik Morcha,Others,586,
1,S4BAG2,4,Baglung,2,Baburam Pandey,Male,Aamul Paribartan Masiha Party,Others,262,
1,S5RUKE1,5,Rukum East,1,Kamala Rokka,Female,Maoist Centre,Left Alliance,10434,1
1,S5RUKE1,5,Rukum East,1,Harishankar Gharti Magar,Male,Nepali Congress,Democratic Alliance,4406,
1,S5RUKE1,5,Rukum East,1,Jitman Pun,Male,Naya Shakti Party,Others,1489,
1,S5RUKE1,5,Rukum East,1,Ratan Bahadur Buda,Male,Mongol National Organization,Others,58,
1,S5RUKE1,5,Rukum East,1,Moti Ram Khadka,Male,CPN-ML,Others,487,
1,S5RUKE1,5,Rukum East,1,Chandra Prasad Shahi,Male,Rastriya Janamorcha,Others,52,
1,S5ROL1,5,Rolpa,1,Kumar Shah,Male,Deshbhakta Janaganatantrik Morcha,Others,286,
1,S5ROL1,5,Rolpa,1,Barshaman Pun,Male,Maoist Centre,Left Alliance,42084,1
1,S5ROL1,5,Rolpa,1,Mekh Bahadur Bista,Male,Rastriya Janamorcha,Others,656,
1,S5ROL1,5,Rolpa,1,Puja Pariyar,Female,Rastriya Janamukti Party,Others,161,
1,S5ROL1,5,Rolpa,1,Saune Buda,Male,Sanghiya Samajwadi Forum,,276,
1,S5ROL1,5,Rolpa,1,Saroj Gharti Magar,Male,Mongol National Organization,Others,305,
1,S5ROL1,5,Rolpa,1,Ram Bahadur Wali Chhetri,Male,Unified RPP (Nationalist),Others,1191,
1,S5ROL1,5,Rolpa,1,Amar Singh Pun,Male,Nepali Congress,Democratic Alliance,20337,
1,S6DOL1,6,Dolpa,1,Dhan Bahadur Buda,Male,CPN-UML,Left Alliance,11761,1
1,S6DOL1,6,Dolpa,1,Arjun Bahadur Shahi,Male,Rastriya Janamukti Party,Others,22,
1,S6DOL1,6,Dolpa,1,Harka Bahadur Thakulla,Male,CPN-ML,Others,299,
1,S6DOL1,6,Dolpa,1,Angad Kumar Buda,Male,Nepali Congress,Democratic Alliance,3167,
1,S6MUG1,6,Mugu,1,Hasta Bahadur Malla,Male,Nepali Congress,Democratic Alliance,9861,
1,S6MUG1,6,Mugu,1,Raj Bahadur Bham,Male,Naya Shakti Party,Others,99,
1,S6MUG1,6,Mugu,1,Gopal Bahadur Bam,Male,CPN-UML,Left Alliance,13034,1
1,S6JUM1,6,Jumla,1,Dilli Prasad Kafle,Male,Nepal Majdur Kisaan Party,Others,2690,
1,S6JUM1,6,Jumla,1,Devendra Bahadur Shahi,Male,Nepali Congress,Democratic Alliance,14149,
1,S6JUM1,6,Jumla,1,Harihar Chaulagain,Male,Independent,Others,154,
1,S6JUM1,6,Jumla,1,Amit Kumar Sahi,Male,Sanghiya Samajwadi Forum,,166,
1,S6JUM1,6,Jumla,1,Bin Buda,Male,Unified RPP (Nationalist),Others,362,
1,S6JUM1,6,Jumla,1,Gajendra Bahadur Mahat,Male,Maoist Centre,Left Alliance,22173,1
1,S6KAL1,6,Kalikot,1,Karna Bahadur Buda,Male,Deshbhakta Janaganatantrik Morcha,Others,121,
1,S6KAL1,6,Kalikot,1,Durga Bahadur Rawat,Male,Maoist Centre,Left Alliance,21112,1
1,S6KAL1,6,Kalikot,1,Min Bahadur Shahi,Male,Rastriya Janamorcha,Others,238,
1,S6KAL1,6,Kalikot,1,Narendra Bahadur Shahi,Male,RJP-N,,126,
1,S6KAL1,6,Kalikot,1,Daan Bahadur Sahakari,Male,Naya Shakti Party,Others,114,
1,S6KAL1,6,Kalikot,1,Dilli Prasad Chaulagain,Male,CPN-ML,Others,674,
1,S6KAL1,6,Kalikot,1,Bhupendra Jung Shahi,Male,Nepali Congress,Democratic Alliance,16407,
1,S6KAL1,6,Kalikot,1,Aain Bahadur Shahi,Male,Nepal Majdur Kisaan Party,Others,878,
1,S6HUM1,6,Humla,1,Devki Shahi,Female,Unified RPP (Nationalist),Others,85,
1,S6HUM1,6,Humla,1,Mangal Bahadur Shahi,Male,Nepali Congress,Democratic Alliance,8444,
1,S6HUM1,6,Humla,1,Kali Bahadur B.K.,Male,Sanghiya Samajwadi Forum,,166,
1,S6HUM1,6,Humla,1,Chhimi Dorchi Lama,Male,Maoist Centre,Left Alliance,2856,
1,S6HUM1,6,Humla,1,Rana Bahadur Sarki,Male,Jana Samajwadi Party,Others,409,
1,S6HUM1,6,Humla,1,Chhakka Bahadur Lama,Male,Independent,Others,8491,1
1,S6HUM1,6,Humla,1,Tul Bahadur Shahi,Male,Naya Shakti Party,Others,382,
1,S6JAJ1,6,Jajarkot,1,Sher Bahadur Shahi,Male,Naya Shakti Party,Others,281,
1,S6JAJ1,6,Jajarkot,1,Rajiv Bikram Shah,Male,Nepali Congress,Democratic Alliance,23289,
1,S6JAJ1,6,Jajarkot,1,Ratan Bahadur Bohara,Male,Sanghiya Samajwadi Forum,,335,
1,S6JAJ1,6,Jajarkot,1,Shakti Bahadur Basnet,Male,Maoist Centre,Left Alliance,32281,1
1,S6JAJ1,6,Jajarkot,1,Yuddha Bir Singh,Male,Unified RPP (Nationalist),Others,638,
1,S7BAJU1,7,Bajura,1,Lal Bahadur Thapa,Male,CPN-UML,Left Alliance,28065,1
1,S7BAJU1,7,Bajura,1,Dilip Kumar Shahi,Male,Naya Shakti Party,Others,465,
1,S7BAJU1,7,Bajura,1,Kaviraj Pandit,Male,Nepali Congress,Democratic Alliance,23181,
1,S7BAJ1,7,Bajhang,1,Prithvi Bahadur Singh,Male,Nepali Congress,Democratic Alliance,25426,
1,S7BAJ1,7,Bajhang,1,Bhim Bahadur Thapa,Male,Sanghiya Samajwadi Forum,,486,
1,S7BAJ1,7,Bajhang,1,Min Bahadur Singh,Male,Bibeksheel Sajha Party,Others,486,
