Phase,Code,Province,District,National_Constituency,Province_Constituency,Contestant,Gender,Party,Votes,Won
1,S1PAN11,1,Panchthar,1,A,Khagendra Lowa,Male,Naya Shakti Party,127,
1,S1PAN11,1,Panchthar,1,A,Kiran Thamsuhang,Male,Mongol National Organization,190,
1,S1PAN11,1,Panchthar,1,A,Netra Prasad Pokhrel,Male,Unified RPP (Nationalist),193,
1,S1PAN11,1,Panchthar,1,A,Priya Prakash Rimal,Male,CPN-ML,416,
1,S1PAN11,1,Panchthar,1,A,Ganesh Kumar Kambang,Male,CPN-UML,210101,1
1,S1PAN12,1,Panchthar,1,B,Indra Bahadur Aangbo,Male,Maoist Centre,16908,1
1,S1PAN12,1,Panchthar,1,B,Shree Surendra Kumar Dahal,Male,Nepali Congress,12117,
1,S1PAN12,1,Panchthar,1,B,Dipendra Chemjong,Male,Sanghiya Loktantrik Rastriya Manch,1157,
1,S1PAN12,1,Panchthar,1,B,Ebiraj  Aangdembe,Male,Sanghiya Samajwadi Forum,2040,
1,S1PAN12,1,Panchthar,1,B,Nagendra Prasad Nembang,Male,Naya Shakti Party,112,
1,S1PAN12,1,Panchthar,1,B,Inchha Bahadur Chemjong,Male,Rastriya Janmukti Party,429,
1,S1PAN12,1,Panchthar,1,B,Bhim Bahadur Tamang,Male,Jana Samajwadi Party,852,
1,S1PAN12,1,Panchthar,1,B,Ram Kumar Tumrok,Male,Mongol National Organization,62,
1,S1SAN11,1,Sankhuwasabha,1,A,Adal Kumar Rai (Kulung),Male,Naya Shakti Party,244,
1,S1SAN11,1,Sankhuwasabha,1,A,Jagdip Rai (Mewahang),Male,Rastriya Janmukti Party,118,
1,S1SAN11,1,Sankhuwasabha,1,A,Purn Prasad Rai (Yamphu),Male,Maoist Centre,16677,1
1,S1SAN11,1,Sankhuwasabha,1,A,Tanka Prasad Rai,Male,Nepali Congress,14632,
1,S1SAN11,1,Sankhuwasabha,1,A,Dinesh Khanal,Male,Unified RPP (Nationalist),130,
1,S1SAN11,1,Sankhuwasabha,1,A,Dil Bahadur Rai (Lohorung),Male,Sanghiya Samajwadi Forum,374,
1,S1SAN11,1,Sankhuwasabha,1,A,Samir Kafle,Male,Green Party Nepal,38,
1,S1SAN11,1,Sankhuwasabha,1,A,Raj Kumari Gurung,Female,RJP-N,72,
1,S1SAN12,1,Sankhuwasabha,1,B,Teka Bahadur Visht,Male,Naya Shakti Party,89,
1,S1SAN12,1,Sankhuwasabha,1,B,Dipak Kumar Limbu (Thaklung),Male,Nepali Congress,16140,
1,S1SAN12,1,Sankhuwasabha,1,B,Chhatra Bahadur Thapa,Male,Unified RPP (Nationalist),134,
1,S1SAN12,1,Sankhuwasabha,1,B,Yam Kumar Linkha,Male,Rastriya Janmukti Party,39,
1,S1SAN12,1,Sankhuwasabha,1,B,Badri Narayan Linthep,Male,Sanghiya Samajwadi Forum,201,
1,S1SAN12,1,Sankhuwasabha,1,B,Subhash Rai (Yakhkha),Male,Sanghiya Loktantrik Rastriya Manch,183,
1,S1SAN12,1,Sankhuwasabha,1,B,Bir Bakas Magar,Male,Mongol National Organization,95,
1,S1SAN12,1,Sankhuwasabha,1,B,Tulsi Prasad Neupane,Male,CPN-UML,17514,1
1,S1BHO11,1,Bhojpur,1,A,Subhash Rai,Male,RJP-N,151,
1,S1BHO11,1,Bhojpur,1,A,Moses Rai,Male,Mongol National Organization,229,
1,S1BHO11,1,Bhojpur,1,A,Ajambar Rai Kangmang,Male,Sanghiya Samajwadi Forum,11541,
1,S1BHO11,1,Bhojpur,1,A,Aangdendi Sherpa,Male,Deshbhakta Janganatantrik Morcha,551,
1,S1BHO11,1,Bhojpur,1,A,Parshu Ram Rai,Male,Jana Samajwadi Party,747,
1,S1BHO11,1,Bhojpur,1,A,Uttam Rai,Male,Sanghiya Loktantrik Rastriya Manch,71,
1,S1BHO11,1,Bhojpur,1,A,Rajendra Kumar Rai,Male,CPN-UML,19297,1
1,S1BHO12,1,Bhojpur,1,B,Sherdhan Rai,Male,CPN-UML,20334,1
1,S1BHO12,1,Bhojpur,1,B,Govinda Bahadur Karki,Male,Nepali Congress,7105,
1,S1BHO12,1,Bhojpur,1,B,Subhash Rai,Male,Sanghiya Khumbuwan Loktantrik Party,59,
1,S1BHO12,1,Bhojpur,1,B,Jit Bahadur Rai,Male,Sanghiya Loktantrik Rastriya Manch,128,
1,S1BHO12,1,Bhojpur,1,B,Dev Prasad Rai,Male,Deshbhakta Janganatantrik Morcha,130,
1,S1BHO12,1,Bhojpur,1,B,Yadav Kumar Pande,Male,CPN-ML,789,
1,S1SOL11,1,Solukhumbu,1,A,Shreedhwaj Tamang,Male,RJP-N,73,
1,S1SOL11,1,Solukhumbu,1,A,Dipak Khadka,Male,Naya Shakti Party,1156,
1,S1SOL11,1,Solukhumbu,1,A,Lochan Kumar Kattel Sharma,Male,Independent,254,
1,S1SOL11,1,Solukhumbu,1,A,Uttam Kumar  Basnet,Male,CPN-UML,10585,1
1,S1SOL11,1,Solukhumbu,1,A,Prakash Singh Karki,Male,Nepali Congress,8922,
1,S1SOL11,1,Solukhumbu,1,A,Chola Maya Basnet,Female,Sanghiya Samajwadi Forum,100,
1,S1SOL12,1,Solukhumbu,1,B,Munindra Basnet,Male,Naya Shakti Party,120,
1,S1SOL12,1,Solukhumbu,1,B,Prem Kumari Rai (Basnet),Female,RJP-N,60,
1,S1SOL12,1,Solukhumbu,1,B,Budhi Kumar Rajbhandari,Male,CPN-UML,10387,1
1,S1SOL12,1,Solukhumbu,1,B,Aang Gelu Sherpa,Male,Nepali Congress,7929,
1,S1SOL12,1,Solukhumbu,1,B,Ganga Bahadur Thapa Magar,Male,Sanghiya Samajwadi Forum,245,
1,S1KHO11,1,Khotang,1,A,Tulsi Kumar Rai,Male,RJP-N,149,
1,S1KHO11,1,Khotang,1,A,Netra Bahadur Katuwal,Male,CPN-ML,866,
1,S1KHO11,1,Khotang,1,A,Subhash Kumar Pokharel,Male,Nepali Congress,13411,
1,S1KHO11,1,Khotang,1,A,Rajan Rai,Male,CPN-UML,18933,1
1,S1KHO11,1,Khotang,1,A,Navin Rai,Male,Sanghiya Samajwadi Forum,1414,
1,S1KHO12,1,Khotang,1,B,Bishnu Kumar Rai,Male,Nepali Congress,12239,
1,S1KHO12,1,Khotang,1,B,Kul Prasad Sharma Phuyal,Male,CPN-ML,1038,
1,S1KHO12,1,Khotang,1,B,Tanka Bahadur Thapa,Male,Sanghiya Samajwadi Forum,1233,
1,S1KHO12,1,Khotang,1,B,Ram Kumar Rai,Male,Maoist Centre,18372,1
1,S1OKH11,1,Okhaldhunga,1,A,Sanja Maya Rai,Female,Rastriya Janamorcha,13,
1,S1OKH11,1,Okhaldhunga,1,A,Netra Bahadur Nemwang,Male,Sanghiya Samajwadi Forum,299,
1,S1OKH11,1,Okhaldhunga,1,A,Khem Raj Khadka,Male,Naya Shakti Party,184,
1,S1OKH11,1,Okhaldhunga,1,A,Ambir Babu Gurung,Male,CPN-UML,18908,1
1,S1OKH11,1,Okhaldhunga,1,A,Mitra Sen Dahal,Male,Nepali Congress,11906,
1,S1OKH11,1,Okhaldhunga,1,A,Kanuri Sherpa,Male,Mongol National Organization,59,
1,S1OKH11,1,Okhaldhunga,1,A,Tenjing Sherpa,Male,Deshbhakta Janganatantrik Morcha,96,
1,S1OKH12,1,Okhaldhunga,1,B,Dinesh Kumar Rai,Male,Sanghiya Samajwadi Forum,333,
1,S1OKH12,1,Okhaldhunga,1,B,Gyanendra Rumdali,Male,Independent,1858,
1,S1OKH12,1,Okhaldhunga,1,B,Tanka Nath Adhikari,Male,Naya Shakti Party,165,
1,S1OKH12,1,Okhaldhunga,1,B,Mohan Kumar Khadka,Male,Maoist Centre,15485,1
1,S1OKH12,1,Okhaldhunga,1,B,Pradip Kumar Sunuwar,Male,Nepali Congress,13711,
1,S1OKH12,1,Okhaldhunga,1,B,Bishnu Khadka,Male,Deshbhakta Janganatantrik Morcha,111,
1,S3DOL11,3,Dolakha,1,A,Purna Bahadur Khadka,Male,Deshbhakta Janganatantrik Morcha,140,
1,S3DOL11,3,Dolakha,1,A,Puskar Kumar Adhikari,Male,Independent,17,
1,S3DOL11,3,Dolakha,1,A,Suresh Upreti,Male,Independent,10,
1,S3DOL11,3,Dolakha,1,A,Rajesh Shreshta,Male,Independent,10,
1,S3DOL11,3,Dolakha,1,A,Shiva Prasad Shiwakoti,Male,CPN-ML,1285,
1,S3DOL11,3,Dolakha,1,A,Brihaspati Gole,Female,Independent,19,
1,S3DOL11,3,Dolakha,1,A,Dawa Chhiri Sherpa,Male,Sanghiya Samajwadi Forum,307,
1,S3DOL11,3,Dolakha,1,A,Saroj Tamang,Male,Liberal Democratic Party,62,
1,S3DOL11,3,Dolakha,1,A,Varma Lama,Male,Nepali Congress,12956,
1,S3DOL11,3,Dolakha,1,A,Bishal Khangk,Male,Maoist Centre,28350,1
1,S3DOL11,3,Dolakha,1,A,Lila Prasad Shiwakoti,Male,Independent,6,
1,S3DOL11,3,Dolakha,1,A,Tok Bahadur Gurung,Male,Mongol National Organization,212,
1,S3DOL12,3,Dolakha,1,B,Pashupati Chaulagain,Male,CPN-UML,23058,1
1,S3DOL12,3,Dolakha,1,B,Lal Kumar K.C,Male,CPN-ML,3404,
1,S3DOL12,3,Dolakha,1,B,Hira Prasad Chaulagain,Male,Independent,8,
1,S3DOL12,3,Dolakha,1,B,Keshavraj Chaulagain,Male,Nepali Congress,10880,
1,S3DOL12,3,Dolakha,1,B,Budhi Man Sherpa,Male,Independent,23,
1,S3DOL12,3,Dolakha,1,B,Rudra Prasad Pokharel,Male,Independent,9,
1,S3DOL12,3,Dolakha,1,B,Laldhwaj Tamang,Male,Tamangsaling Loktantrik Party,120,
1,S3DOL12,3,Dolakha,1,B,Sang Thilen Sherpa,Male,Mongol National Organization,1045,
1,S3DOL12,3,Dolakha,1,B,Chhatra Bahadur Karki,Male,Deshbhakta Loktantrik Party,87,
1,S3DOL12,3,Dolakha,1,B,Mahendra Kumar Shreshta,Male,Unified RPP (Nationalist),176,
1,S3DOL12,3,Dolakha,1,B,Tahal Bahadur Thami,Male,Sanghiya Samajwadi Forum,231,
1,S3RAM11,3,Ramechhap,1,A,Shanti Prasad Paudel,Male,CPN-UML,22369,1
1,S3RAM11,3,Ramechhap,1,A,Ratna Bahadur Karki,Male,Nepali Congress,16058,
1,S3RAM11,3,Ramechhap,1,A,Pratap Tamang,Male,Jana Samajwadi Party,840,
1,S3RAM11,3,Ramechhap,1,A,Prem Bahadur Tamang,Male,Sanghiya Samajwadi Forum,215,
1,S3RAM11,3,Ramechhap,1,A,Lhanghali Magar,Male,Deshbhakta Janganatantrik Morcha,146,
1,S3RAM11,3,Ramechhap,1,A,Man Prasad Sunuwar,Male,Naya Shakti Party,232,
1,S3RAM11,3,Ramechhap,1,A,Kamal Darlami Magar,Male,Mongol National Organization,108,
1,S3RAM11,3,Ramechhap,1,A,Raj Kumar Tamang,Male,Tamangsaling Loktantrik Party,122,
1,S3RAM12,3,Ramechhap,1,B,Hari Krishna Shreshta,Male,Nepal Majdur Kisaan Party,49,
1,S3RAM12,3,Ramechhap,1,B,Raju Yongjan,Male,Jana Samajwadi Party,29,
1,S3RAM12,3,Ramechhap,1,B,Kailash Prasad Dhungel,Male,CPN-UML,26935,1
1,S3RAM12,3,Ramechhap,1,B,Jit Bahadur Magar,Male,Nepali Congress,14729,
1,S3RAM12,3,Ramechhap,1,B,Padam Bahadur Magar,Male,Deshbhakta Janganatantrik Morcha,67,
1,S3RAM12,3,Ramechhap,1,B,Dhan Man Thokar,Male,Naya Shakti Party,269,
1,S3RAM12,3,Ramechhap,1,B,Jit Bahadur Dahal,Male,Independent,222,
1,S3RAM12,3,Ramechhap,1,B,Bhakta Bahadur Thapa Magar,Male,Mongol National Organization,29,
1,S3RAM12,3,Ramechhap,1,B,Ram Bahadur Tamang,Male,Sanghiya Samajwadi Forum,283,
1,S3RAS11,3,Rasuwa,1,A,Sagun Ghale,Male,Independent,7,
1,S3RAS11,3,Rasuwa,1,A,Lila Bahadur Neupane,Male,Independent,113,
1,S3RAS11,3,Rasuwa,1,A,Bishnu Lama,Male,Independent,15,
1,S3RAS11,3,Rasuwa,1,A,Nurpu Chhiring Tamang,Male,Unified RPP (Nationalist),17,
1,S3RAS11,3,Rasuwa,1,A,Prabhat  Tamang,Male,Nepali Congress,6976,1
1,S3RAS11,3,Rasuwa,1,A,Kanryal Tamang,Male,CPN-UML,5152,
1,S3RAS12,3,Rasuwa,1,B,Lachhin Nurpu Tamang,Male,Mongol National Organization,84,
1,S3RAS12,3,Rasuwa,1,B,Eendra Prasad Gotame,Male,Maoist Centre,5692,
1,S3RAS12,3,Rasuwa,1,B,Radhika Paudel,Female,Nepal Majdur Kisaan Party,41,
1,S3RAS12,3,Rasuwa,1,B,Prem Bahadur Tamang,Male,Naya Shakti Party,7040,1
1,S3RAS12,3,Rasuwa,1,B,Nirmal Bikram Gole,Male,Independent,25,
1,S3RAS12,3,Rasuwa,1,B,Parma Singh Tamang,Male,Mongol National Organization,50,
1,S3DHA11,3,Dhading,1,A,Krishna Lal Shreshta,Male,Independent,113,
1,S3DHA11,3,Dhading,1,A,Keshav Adhikari,Male,Independent,24,
1,S3DHA11,3,Dhading,1,A,Nakul Thapa,Male,Naya Shakti Party,307,
1,S3DHA11,3,Dhading,1,A,Madhu Kumar Shreshta,Male,Nepali Congress,13647,
1,S3DHA11,3,Dhading,1,A,Surat Kumar Shreshta,Male,Independent,13,
1,S3DHA11,3,Dhading,1,A,Rajendra Tamang,Male,Mongol National Organization,59,
1,S3DHA11,3,Dhading,1,A,Rajendra Prasad Pandey,Male,CPN-UML,27332,1
1,S3DHA11,3,Dhading,1,A,Jitendra Shreshta,Male,Bibeksheel Sajha Party,375,
1,S3DHA12,3,Dhading,1,B,Shalik Ram Jammakattel,Male,Maoist Centre,23382,1
1,S3DHA12,3,Dhading,1,B,Saroj Prasad Adhikari,Male,Independent,74,
1,S3DHA12,3,Dhading,1,B,Jiba Nath Sedhai,Male,Independent,51,
1,S3DHA12,3,Dhading,1,B,Prabhat Kiran Subedi,Male,Nepali Congress,10407,
1,S3DHA12,3,Dhading,1,B,Ganesh Lal Shreshta,Male,Independent,16,
1,S3DHA12,3,Dhading,1,B,Santosh Barakoti,Male,Naya Shakti Party,376,
1,S3DHA21,3,Dhading,2,A,Top Bahadur Loppa,Male,Independent,17,
1,S3DHA21,3,Dhading,2,A,Tara Prasad Lamichhane,Male,Independent,7,
1,S3DHA21,3,Dhading,2,A,Pancha Bahadur Tamang,Male,Mongol National Organization,88,
1,S3DHA21,3,Dhading,2,A,Santosh Duwadi,Male,RJP-N,40,
1,S3DHA21,3,Dhading,2,A,Surya Bahadur Tamang,Male,Independent,3,
1,S3DHA21,3,Dhading,2,A,Devi Prasad Koirala,Male,Independent,5,
1,S3DHA21,3,Dhading,2,A,Nanda Prasad Kapri,Male,Naya Shakti Party,247,
1,S3DHA21,3,Dhading,2,A,Ram Kumar Adhikari,Male,CPN-UML,20368,1
1,S3DHA21,3,Dhading,2,A,Krishna Prasad Lamsal,Male,Independent,9,
1,S3DHA21,3,Dhading,2,A,Ishwar Adhikari,Male,Independent,75,
1,S3DHA21,3,Dhading,2,A,Basanta Acharya,Male,Independent,5,
1,S3DHA21,3,Dhading,2,A,Ramesh Prasad Dhamala,Male,Nepali Congress,19018,
1,S3DHA21,3,Dhading,2,A,Rakesh Dhamala,Male,Independent,6,
1,S3DHA21,3,Dhading,2,A,Khum Prasad Simkhada,Male,Independent,9,
1,S3DHA21,3,Dhading,2,A,Shivaram Bhandari,Male,Independent,9,
1,S3DHA21,3,Dhading,2,A,Resham Thapa,Male,Independent,10,
1,S3DHA21,3,Dhading,2,A,Dharma Bahadur Rana,Male,Independent,7,
1,S3DHA22,3,Dhading,2,B,Dambar Tamang,Male,RPP,15774,
1,S3DHA22,3,Dhading,2,B,Salikram Thapa Magar,Male,Mongol National Organization,197,
1,S3DHA22,3,Dhading,2,B,Budhi Bahadur Tamang,Male,Independent,75,
1,S3DHA22,3,Dhading,2,B,Bishnu Prasad Sapkota,Male,Naya Shakti Party,616,
1,S3DHA22,3,Dhading,2,B,Sundar Tamang,Male,Independent,37,
1,S3DHA22,3,Dhading,2,B,Ganesh Basaula,Male,Independent,47,
1,S3DHA22,3,Dhading,2,B,Dipak Pande,Male,Independent,66,
1,S3DHA22,3,Dhading,2,B,Jagat Bahadur Simkhada,Male,Maoist Centre,17605,1
1,S3NUW11,3,Nuwakot,1,A,Ramu Pandit,Male,Unified RPP (Nationalist),532,
1,S3NUW11,3,Nuwakot,1,A,Gyurmi Sherpa,Male,Naya Shakti Party,125,
1,S3NUW11,3,Nuwakot,1,A,Bimala Tamang,Male,Bibeksheel Sajha Party,381,
1,S3NUW11,3,Nuwakot,1,A,Mahendra Thing,Male,Nepali Congress,13368,
1,S3NUW11,3,Nuwakot,1,A,Radhika Tamang,Female,Maoist Centre,18137,1
1,S3NUW11,3,Nuwakot,1,A,Sunita Thokar,Female,Independent,59,
1,S3NUW12,3,Nuwakot,1,B,Krishna Tamang,Male,Mongol National Organization,127,
1,S3NUW12,3,Nuwakot,1,B,Gyan Bahadur Tamang,Male,Independent,70,
1,S3NUW12,3,Nuwakot,1,B,Rajan Lamichhane,Male,Deshbhakta Janganatantrik Morcha,169,
1,S3NUW12,3,Nuwakot,1,B,Purendra Prasad Dhakal,Male,Unified RPP (Nationalist),557,
1,S3NUW12,3,Nuwakot,1,B,Ishwar Kumar Raut,Male,Naya Shakti Party,263,
1,S3NUW12,3,Nuwakot,1,B,Ramesh Kumar Mahat,Male,Nepali Congress,12217,
1,S3NUW12,3,Nuwakot,1,B,Badri Mainali,Male,CPN-UML,20509,1
1,S3NUW12,3,Nuwakot,1,B,Krishna Prasad Adhikari,Male,Bibeksheel Sajha Party,186,
1,S3NUW21,3,Nuwakot,2,A,Keshav Raj Panday,Male,CPN-UML,20009,1
1,S3NUW21,3,Nuwakot,2,A,Jagdishwar Narsingh K.C,Male,Nepali Congress,12729,
1,S3NUW21,3,Nuwakot,2,A,Keshav Prasad Pudasaini,Male,Naya Shakti Party,122,
1,S3NUW21,3,Nuwakot,2,A,Damodar Nepal,Male,Bibeksheel Sajha Party,297,
1,S3NUW21,3,Nuwakot,2,A,Dipesh Lama Nischal,Male,Unified RPP (Nationalist),696,
1,S3NUW21,3,Nuwakot,2,A,Arjun Lal Shreshta,Male,Deshbhakta Janganatantrik Morcha,122,
1,S3NUW21,3,Nuwakot,2,A,Badri Prasad Tripathi,Male,Independent,122,
1,S3NUW22,3,Nuwakot,2,B,Rita Ojha,Female,Independent,58,
1,S3NUW22,3,Nuwakot,2,B,Bhim Lal Tamang,Male,Naya Shakti Party,268,
1,S3NUW22,3,Nuwakot,2,B,Jagat Bahadur Tamang,Male,Nepali Congress,14052,
1,S3NUW22,3,Nuwakot,2,B,Yadav Raj Upadhayay Silwal,Male,Unified RPP (Nationalist),462,
1,S3NUW22,3,Nuwakot,2,B,Kamaan Tamang,Male,Bibeksheel Sajha Party,308,
1,S3NUW22,3,Nuwakot,2,B,Ravi Adhikari,Male,Deshbhakta Janganatantrik Morcha,212,
1,S3NUW22,3,Nuwakot,2,B,Hiranath Khatiwada,Male,Maoist Centre,17062,1
1,S3SIN11,3,Sindhupalchok,1,A,Suman Shreshta,Male,Nepal Majdur Kisaan Party,56,
1,S3SIN11,3,Sindhupalchok,1,A,China Lama (Tamang),Male,Sanghiya Samajwadi Forum,167,
1,S3SIN11,3,Sindhupalchok,1,A,Jhul Raj Kharel,Male,Rastriya Janamorcha,73,
1,S3SIN11,3,Sindhupalchok,1,A,Mohan Lal Bishwakarma,Male,Jana Samajwadi Party,652,
1,S3SIN11,3,Sindhupalchok,1,A,Sudip Tamang,Male,Jana Prajatantrik Party,38,
1,S3SIN11,3,Sindhupalchok,1,A,Khadga Bahadur Thapa,Male,Deshbhakta Janganatantrik Morcha,22,
1,S3SIN11,3,Sindhupalchok,1,A,Nayandra Bahadur Bohara,Male,Independent,17,
1,S3SIN11,3,Sindhupalchok,1,A,Arun Prasad Nepal,Male,CPN-UML,21712,1
1,S3SIN11,3,Sindhupalchok,1,A,Elina Tamang,Female,Sanghiya Khumbuwan Loktantrik Party,22,
1,S3SIN11,3,Sindhupalchok,1,A,Manoj Kumar Tamang,Male,Tamangsaling Loktantrik Party,69,
1,S3SIN11,3,Sindhupalchok,1,A,Bishnu Bahadur Khatri,Male,Nepali Congress,14633,
1,S3SIN12,3,Sindhupalchok,1,B,Sire Tamang,Male,Sanghiya Khumbuwan Loktantrik Party,120,
1,S3SIN12,3,Sindhupalchok,1,B,Saresh Nepal,Male,CPN-UML,22837,1
1,S3SIN12,3,Sindhupalchok,1,B,Magar Tamang,Male,Sanghiya Samajwadi Forum,167,
1,S3SIN12,3,Sindhupalchok,1,B,Rajendra Kumar Shreshta,Male,Nepali Congress,12187,
1,S3SIN12,3,Sindhupalchok,1,B,Rajan Kumar Neupane,Male,Rastriya Janamorcha,192,
1,S3SIN12,3,Sindhupalchok,1,B,Nama Raj Shreshta,Male,Naya Shakti Party,92,
1,S3SIN12,3,Sindhupalchok,1,B,Budha Kumar Shreshta,Male,Jana Samajwadi Party,852,
1,S3SIN12,3,Sindhupalchok,1,B,Manik Gadharaj,Male,Aamul Pariwartan Masiha Party,96,
1,S3SIN21,3,Sindhupalchok,2,A,Daindra Bahadur Thakuri,Male,Independent,164,
1,S3SIN21,3,Sindhupalchok,2,A,Bikash Tamang,Male,Nepali Congress,13521,
1,S3SIN21,3,Sindhupalchok,2,A,Aashiq Tamang,Male,Tamangsaling Loktantrik Party,42,
1,S3SIN21,3,Sindhupalchok,2,A,Kali Bahadur Majhi,Male,Jana Samajwadi Party,892,
1,S3SIN21,3,Sindhupalchok,2,A,Chet Bahadur Tamang,Male,Naya Shakti Party,81,
1,S3SIN21,3,Sindhupalchok,2,A,Yuvraj Dulal,Male,Maoist Centre,20687,1
1,S3SIN22,3,Sindhupalchok,2,B,Bharat Adhikari,Male,Naya Shakti Party,126,
1,S3SIN22,3,Sindhupalchok,2,B,Dawa Tamang,Male,Maoist Centre,18708,
1,S3SIN22,3,Sindhupalchok,2,B,Devi Lal Tamang,Male,Tamangsaling Loktantrik Party,71,
1,S3SIN22,3,Sindhupalchok,2,B,Chet Nath Giri,Male,Jana Samajwadi Party,746,
1,S3SIN22,3,Sindhupalchok,2,B,Kumar Adhikari,Male,Nepal Janta Party,54,
1,S3SIN22,3,Sindhupalchok,2,B,Krishna Bahadur Tamang,Male,Sanghiya Samajwadi Forum,134,
1,S3SIN22,3,Sindhupalchok,2,B,Nima Lama,Male,Nepali Congress,18905,1
1,S3SIN22,3,Sindhupalchok,2,B,Raju Kumar Khadka,Male,Deshbhakta Janganatantrik Morcha,46,
1,S4GOR11,4,Gorkha,1,A,Hari Bahadur Rana,Male,Independent,78,
1,S4GOR11,4,Gorkha,1,A,Goma Devi Karki,Female,Sanghiya Samajwadi Forum,470,
1,S4GOR11,4,Gorkha,1,A,Dhiran Thapa,Male,Nepali Congress,14019,
1,S4GOR11,4,Gorkha,1,A,Lekh Bahadur Thapa Magar,Male,Maoist Centre,16558,1
1,S4GOR12,4,Gorkha,1,B,Rajendra Bajgai,Male,Nepali Congress,13001,
1,S4GOR12,4,Gorkha,1,B,Ram Sharan Basnet,Male,CPN-UML,16656,1
1,S4GOR12,4,Gorkha,1,B,Prasad Gurung,Male,Mongol National Organization,138,
1,S4GOR21,4,Gorkha,2,A,Sher Bahadur Gurung,Male,Mongol National Organization,74,
1,S4GOR21,4,Gorkha,2,A,Kamala Naharki,Female,Maoist Centre,12065,
1,S4GOR21,4,Gorkha,2,A,Hari Sharan Acharya,Male,Naya Shakti Party,15343,1
1,S4GOR21,4,Gorkha,2,A,Rasa Kumal,Female,Aamul Pariwartan Masiha Party,195,
1,S4GOR21,4,Gorkha,2,A,Sen Bahadur Sunar,Male,Unified RPP (Nationalist),163,
1,S4GOR21,4,Gorkha,2,A,Tara Pariyar,Female,Rastriya Janmukti Party,99,
1,S4GOR21,4,Gorkha,2,A,Hom Bahadur Tamang,Male,Sanghiya Samajwadi Forum,120,
1,S4GOR22,4,Gorkha,2,B,Mangal Singh Gurung,Male,Mongol National Organization,206,
1,S4GOR22,4,Gorkha,2,B,Chhavi Lal Ghale,Male,Deshbhakta Janganatantrik Morcha,121,
1,S4GOR22,4,Gorkha,2,B,Amar Bahadur Gurung,Male,Maoist Centre,13411,
1,S4GOR22,4,Gorkha,2,B,Dilip Shreshta,Male,Sanghiya Samajwadi Forum,294,
1,S4GOR22,4,Gorkha,2,B,Prakash Chandra Dawadi,Male,Nepali Congress,15853,1
1,S4MAN11,4,Manang,1,A,Chinta Bahadur Ghale,Male,Nepali Congress,998,1
1,S4MAN11,4,Manang,1,A,Dorje Dhunglung Gurung,Male,CPN-UML,896,
1,S4MAN12,4,Manang,1,B,Karma Gurung,Male,Nepali Congress,1020,
1,S4MAN12,4,Manang,1,B,Rajiv Gurung,Male,Independent,1410,1
1,S4LAM11,4,Lamjung,1,A,Indra Bahadur Gurung,Male,Sanghiya Samajwadi Forum,170,
1,S4LAM11,4,Lamjung,1,A,Raju Thapa,Male,Naya Shakti Party,499,
1,S4LAM11,4,Lamjung,1,A,Dhannanjaya Dawadi,Male,CPN-UML,20265,1
1,S4LAM11,4,Lamjung,1,A,Garj Bahadur Gurung,Male,Nepali Congress,13853,
1,S4LAM11,4,Lamjung,1,A,Tulsi Ram Gurung,Male,Bibeksheel Sajha Party,149,
1,S4LAM11,4,Lamjung,1,A,Budhi Man Pariyar,Male,Jana Samajwadi Party,461,
